Topic hierarchies collected (20250517_205400):

1. [result, recording, company, number, conservative] -> [result, recording, company, number, conservative] -> [result, race, hour, draw, pilot]
2. [result, recording, publish, week, modern] -> [result, recording, publish, week, modern] -> [mail, ferguson, result, race, shall]
3. [recording, result, margin, conservative, publish] -> [recording, result, margin, conservative, publish] -> [game, result, recording, conservative, field]
4. [behaviour, hour, western, carmaker, result] -> [behaviour, hour, western, carmaker, result] -> [antiterrorism, result, properly, modern, joss]
5. [result, recording, mail, number, margin] -> [result, recording, mail, number, margin] -> [recording, race, publish, conservative, hour]
6. [recording, modern, result, bite, sheffield] -> [recording, modern, result, bite, sheffield] -> [recording, result, institute, carmaker, company]
7. [recording, ireland, madrid, publisher, protest] -> [recording, ireland, madrid, publisher, protest] -> [antiterrorism, race, recording, hour, ability]
8. [antiterrorism, recording, result, conservative, brighton] -> [antiterrorism, recording, result, conservative, brighton] -> [recording, conservative, antiterrorism, result, discussion]
9. [result, mail, recording, conservative, building] -> [result, mail, recording, conservative, building] -> [result, field, antiterrorism, ability, draw]
10. [recording, result, antiterrorism, publish, race] -> [recording, result, antiterrorism, publish, race] -> [ability, antiterrorism, result, reason, number]
11. [race, result, company, modern, brighton] -> [race, result, company, modern, brighton] -> [result, recording, mail, building, broadcasting]
12. [recording, discussion, decade, hour, behaviour] -> [recording, discussion, decade, hour, behaviour] -> [recording, week, margin, climb, forum]
13. [game, result, recording, briton, joss] -> [game, result, recording, briton, joss] -> [recording, margin, taste, race, shall]
14. [race, discussion, building, modern, brighton] -> [race, discussion, building, modern, brighton] -> [result, recording, behaviour, number, pain]
15. [result, recording, antiterrorism, conservative, discussion] -> [result, recording, antiterrorism, conservative, discussion] -> [recording, ability, taste, publish, race]
16. [race, antiterrorism, week, result, game] -> [race, antiterrorism, week, result, game] -> [recording, result, publisher, conservative, discussion]
17. [result, number, mail, margin, recording] -> [result, number, mail, margin, recording] -> [recording, conservative, hour, margin, result]
18. [behaviour, recording, discussion, conservative, party] -> [behaviour, recording, discussion, conservative, party] -> [recording, antiterrorism, good, week, boeing]
19. [hour, result, recording, antiterrorism, tim] -> [hour, result, recording, antiterrorism, tim] -> [result, antiterrorism, recording, boeing, conservative]
20. [good, historical, recording, antiterrorism, discussion] -> [good, historical, recording, antiterrorism, discussion] -> [recording, result, discussion, conservative, portable]
21. [number, recording, publisher, antiterrorism, holder] -> [number, recording, publisher, antiterrorism, holder] -> [recording, draw, race, manufacturing, publisher]
22. [recording, shall, portable, race, institute] -> [recording, shall, portable, race, institute] -> [brighton, conservative, building, race, game]
23. [discussion, recording, hour, kick, behaviour] -> [discussion, recording, hour, kick, behaviour] -> [recording, result, hour, number, shut]
24. [result, margin, mail, antiterrorism, delete] -> [result, margin, mail, antiterrorism, delete] -> [antiterrorism, recording, race, behaviour, ability]
25. [result, race, recording, reception, boeing] -> [result, race, recording, reception, boeing] -> [recording, conservative, hour, result, portable]
26. [discussion, recording, ireland, historical, conservative] -> [discussion, recording, ireland, historical, conservative] -> [recording, antiterrorism, conservative, margin, ability]
27. [antiterrorism, broadcasting, fix, margin, rent] -> [antiterrorism, broadcasting, fix, margin, rent] -> [recording, hour, publisher, conservative, sheffield]
28. [race, discussion, recording, result, publisher] -> [race, discussion, recording, result, publisher] -> [recording, ability, conservative, china, result]
29. [behaviour, conservative, recording, result, guardian] -> [behaviour, conservative, recording, result, guardian] -> [recording, shall, antiterrorism, good, historical]
30. [recording, result, race, mail, discussion] -> [recording, result, race, mail, discussion] -> [result, race, recording, modern, discussion]
31. [recording, discussion, conservative, race, historical] -> [recording, discussion, conservative, race, historical] -> [race, result, publish, number, draw]
32. [result, race, draw, building, recording] -> [result, race, draw, building, recording] -> [recording, race, draw, hour, modern]
33. [recording, conservative, result, publish, restaurant] -> [recording, conservative, result, publish, restaurant] -> [race, recording, hour, behaviour, game]
34. [race, recording, publisher, result, ireland] -> [race, recording, publisher, result, ireland] -> [recording, ireland, hour, modern, mail]
35. [recording, result, discussion, number, draw] -> [recording, result, discussion, number, draw] -> [recording, discussion, behaviour, result, antiterrorism]
36. [recording, antiterrorism, modern, behaviour, ability] -> [recording, antiterrorism, modern, behaviour, ability] -> [recording, portable, race, conservative, result]
37. [recording, climb, result, number, edinburgh] -> [recording, climb, result, number, edinburgh] -> [recording, portable, publish, game, climb]
38. [race, recording, conservative, draw, result] -> [race, recording, conservative, draw, result] -> [result, conservative, recording, sheffield, number]
39. [result, race, hour, building, historical] -> [result, race, hour, building, historical] -> [recording, race, result, reform, origin]
40. [result, race, building, antiterrorism, recording] -> [result, race, building, antiterrorism, recording] -> [recording, antiterrorism, result, race, reception]
41. [recording, shall, publisher, number, race] -> [recording, shall, publisher, number, race] -> [recording, discussion, publisher, guardian, behaviour]
42. [recording, conservative, result, company, discussion] -> [recording, conservative, result, company, discussion] -> [result, conservative, recording, field, margin]
43. [result, race, building, portable, modern] -> [result, race, building, portable, modern] -> [hour, recording, antiterrorism, race, taste]
44. [behaviour, conservative, antiterrorism, guardian, race] -> [behaviour, conservative, antiterrorism, guardian, race] -> [recording, publish, portable, broadcasting, number]
45. [discussion, recording, conservative, race, result] -> [discussion, recording, conservative, race, result] -> [result, race, building, recording, controversial]
46. [recording, portable, conservative, game, margin] -> [recording, portable, conservative, game, margin] -> [recording, conservative, publisher, result, briton]
47. [conservative, good, race, antiterrorism, recording] -> [conservative, good, race, antiterrorism, recording] -> [recording, antiterrorism, conservative, race, shall]
48. [conservative, result, recording, publish, discussion] -> [conservative, result, recording, publish, discussion] -> [recording, result, climb, good, race]
49. [recording, result, boeing, margin, reform] -> [recording, result, boeing, margin, reform] -> [behaviour, result, recording, conservative, tim]
50. [recording, game, tim, result, publisher] -> [recording, game, tim, result, publisher] -> [result, recording, ireland, taste, discussion]
51. [result, margin, recording, discussion, pain] -> [result, margin, recording, discussion, pain] -> [portable, behaviour, result, game, recording]
52. [recording, result, race, game, week] -> [recording, result, race, game, week] -> [recording, hour, discussion, publisher, race]
53. [behaviour, result, number, recording, antiterrorism] -> [behaviour, result, number, recording, antiterrorism] -> [broadcasting, head, week, benitez, discussion]
54. [edinburgh, recording, race, insurance, protest] -> [edinburgh, recording, race, insurance, protest] -> [result, recording, conservative, climb, properly]
55. [recording, bros, mr, good, film] -> [recording, bros, mr, good, film] -> [antiterrorism, hour, result, building, race]
56. [race, limited, recording, hour, result] -> [race, limited, recording, hour, result] -> [race, hour, result, number, week]
57. [recording, result, hour, brighton, carmaker] -> [recording, result, hour, brighton, carmaker] -> [recording, mail, conservative, result, game]
58. [recording, conservative, race, portable, hour] -> [recording, conservative, race, portable, hour] -> [recording, ireland, prefer, conservative, mail]
59. [recording, publisher, result, antiterrorism, race] -> [recording, publisher, result, antiterrorism, race] -> [recording, race, game, result, hour]
60. [result, discussion, margin, taste, modern] -> [result, discussion, margin, taste, modern] -> [publisher, recording, game, publish, behaviour]
61. [behaviour, race, game, number, edinburgh] -> [behaviour, race, game, number, edinburgh] -> [discussion, race, conservative, ability, draw]
62. [margin, recording, ability, field, taste] -> [margin, recording, ability, field, taste] -> [result, recording, ireland, margin, race]
63. [recording, race, game, publisher, hour] -> [recording, race, game, publisher, hour] -> [conservative, recording, portable, hour, result]
64. [recording, climb, result, mail, carmaker] -> [recording, climb, result, mail, carmaker] -> [race, hour, recording, behaviour, game]
65. [race, result, hour, recording, discussion] -> [race, result, hour, recording, discussion] -> [conservative, result, race, recording, hour]
66. [race, result, discussion, portable, boeing] -> [race, result, discussion, portable, boeing] -> [recording, hour, paul, ability, race]
67. [recording, race, margin, publisher, perspective] -> [recording, race, margin, publisher, perspective] -> [recording, margin, result, conservative, field]
68. [recording, conservative, discussion, japanese, good] -> [recording, conservative, discussion, japanese, good] -> [result, recording, mail, margin, antiterrorism]
69. [recording, good, race, game, portable] -> [recording, good, race, game, portable] -> [recording, conservative, race, result, hour]
70. [recording, boeing, expense, discussion, quarterfinal] -> [recording, boeing, expense, discussion, quarterfinal] -> [race, recording, game, conservative, draw]
71. [result, race, discussion, carmaker, margin] -> [result, race, discussion, carmaker, margin] -> [recording, antiterrorism, race, hour, taste]
72. [race, conservative, antiterrorism, ability, tim] -> [race, conservative, antiterrorism, ability, tim] -> [recording, conservative, draw, result, publisher]
73. [recording, antiterrorism, hour, race, margin] -> [recording, antiterrorism, hour, race, margin] -> [recording, hour, ability, propose, behaviour]
74. [recording, margin, conservative, boeing, result] -> [recording, margin, conservative, boeing, result] -> [recording, week, hour, result, field]
75. [recording, race, discussion, result, joss] -> [recording, race, discussion, result, joss] -> [result, recording, boeing, ability, antiterrorism]
76. [recording, discussion, antiterrorism, conservative, publisher] -> [recording, discussion, antiterrorism, conservative, publisher] -> [antiterrorism, result, ability, recording, draw]
77. [recording, antiterrorism, ability, race, taste] -> [recording, antiterrorism, ability, race, taste] -> [recording, race, madrid, result, hour]
78. [recording, result, ireland, race, climb] -> [recording, result, ireland, race, climb] -> [race, result, madrid, portable, bite]
79. [good, behaviour, discussion, recording, guardian] -> [good, behaviour, discussion, recording, guardian] -> [race, portable, recording, plus, modern]
80. [result, edinburgh, race, joss, mail] -> [result, edinburgh, race, joss, mail] -> [publisher, recording, hour, conservative, result]
81. [recording, antiterrorism, behaviour, conservative, earn] -> [recording, antiterrorism, behaviour, conservative, earn] -> [recording, result, week, expense, building]
82. [recording, antiterrorism, behaviour, building, conservative] -> [recording, antiterrorism, behaviour, building, conservative] -> [result, game, margin, recording, conservative]
83. [result, race, margin, pilot, western] -> [result, race, margin, pilot, western] -> [recording, race, number, publisher, game]
84. [dealing, hour, week, tim, ability] -> [dealing, hour, week, tim, ability] -> [recording, result, discussion, race, mail]
