Topic hierarchies collected (20250519_033311):

1. [game, mr, play, company, people] -> [game, mr, play, company, people] -> [mr, game, film, company, music]
2. [mr, game, people, play, government] -> [mr, game, people, play, government] -> [mr, game, people, film, play]
3. [game, mr, people, film, company] -> [game, mr, people, film, company] -> [mr, people, new, game, film]
4. [mr, game, company, film, people] -> [mr, game, company, film, people] -> [game, mr, new, film, labour]
5. [mr, film, game, new, government] -> [mr, film, game, new, government] -> [mr, company, film, game, new]
6. [game, mr, new, film, company] -> [game, mr, new, film, company] -> [mr, game, new, people, company]
7. [game, mr, film, company, new] -> [game, mr, film, company, new] -> [mr, game, new, play, best]
8. [mr, game, film, company, government] -> [mr, game, film, company, government] -> [mr, game, new, film, people]
9. [mr, film, company, game, new] -> [mr, film, company, game, new] -> [mr, film, people, game, new]
10. [mr, new, film, game, company] -> [mr, new, film, game, company] -> [game, mr, film, new, company]
11. [mr, film, company, game, people] -> [mr, film, company, game, people] -> [mr, people, film, company, game]
12. [mr, film, company, new, government] -> [mr, film, company, new, government] -> [mr, new, film, game, best]
13. [game, mr, play, film, uk] -> [game, mr, play, film, uk] -> [mr, game, government, make, new]
14. [game, mr, award, people, new] -> [game, mr, award, people, new] -> [mr, film, play, player, government]
15. [mr, people, game, election, england] -> [mr, people, game, election, england] -> [mr, people, game, film, best]
16. [mr, game, film, people, company] -> [mr, game, film, people, company] -> [mr, film, game, play, new]
17. [mr, game, new, people, company] -> [mr, game, new, people, company] -> [mr, game, company, people, play]
18. [mr, game, market, people, election] -> [mr, game, market, people, election] -> [mr, people, new, game, film]
19. [mr, game, film, company, new] -> [mr, game, film, company, new] -> [mr, game, company, new, make]
20. [game, mr, new, play, award] -> [game, mr, new, play, award] -> [game, mr, company, people, film]
21. [mr, company, best, game, new] -> [mr, company, best, game, new] -> [mr, game, film, new, people]
22. [mr, game, people, new, film] -> [mr, game, people, new, film] -> [new, mr, game, film, company]
23. [mr, game, company, new, play] -> [mr, game, company, new, play] -> [mr, game, company, people, new]
24. [game, mr, people, new, company] -> [game, mr, people, new, company] -> [mr, game, film, people, new]
25. [mr, company, new, people, government] -> [mr, company, new, people, government] -> [mr, game, film, new, people]
26. [mr, people, film, month, government] -> [mr, people, film, month, government] -> [mr, people, best, government, game]
27. [mr, film, people, market, game] -> [mr, film, people, market, game] -> [mr, game, new, film, people]
28. [mr, game, play, people, film] -> [mr, game, play, people, film] -> [mr, film, new, labour, market]
29. [mr, game, film, people, company] -> [mr, game, film, people, company] -> [mr, film, people, game, sale]
30. [game, mr, people, company, new] -> [game, mr, people, company, new] -> [mr, people, game, film, new]
31. [mr, film, people, game, government] -> [mr, film, people, game, government] -> [mr, people, game, award, company]
