Topic hierarchies collected (20250519_055138):

1. [mr, new, game, world, play] -> [mr, new, game, world, play] -> [film, mr, new, people, company]
2. [mr, company, game, people, government] -> [mr, company, game, people, government] -> [mr, game, new, film, people]
3. [mr, people, film, company, government] -> [mr, people, film, company, government] -> [mr, film, new, people, government]
4. [mr, game, film, new, firm] -> [mr, game, film, new, firm] -> [mr, new, people, world, film]
5. [mr, people, film, new, game] -> [mr, people, film, new, game] -> [mr, game, people, government, play]
6. [mr, game, play, new, make] -> [mr, game, play, new, make] -> [mr, film, government, people, new]
7. [mr, film, people, government, game] -> [mr, film, people, government, game] -> [mr, game, people, new, world]
8. [game, mr, people, new, film] -> [game, mr, people, new, film] -> [mr, film, game, government, play]
9. [mr, game, government, new, people] -> [mr, game, government, new, people] -> [mr, people, new, game, film]
10. [mr, film, people, government, firm] -> [mr, film, people, government, firm] -> [mr, film, people, win, new]
11. [people, mr, film, world, government] -> [people, mr, film, world, government] -> [mr, people, film, plan, government]
12. [government, mr, game, people, make] -> [government, mr, game, people, make] -> [mr, company, game, people, film]
13. [mr, new, play, game, player] -> [mr, new, play, game, player] -> [mr, world, uk, win, people]
14. [mr, film, game, people, new] -> [mr, film, game, people, new] -> [mr, game, new, film, best]
15. [mr, game, new, people, win] -> [mr, game, new, people, win] -> [mr, government, new, film, play]
16. [mr, film, game, government, win] -> [mr, film, game, government, win] -> [mr, game, government, people, number]
17. [mr, people, sale, film, win] -> [mr, people, sale, film, win] -> [mr, film, company, people, game]
18. [mr, people, sale, film, game] -> [mr, people, sale, film, game] -> [mr, new, game, uk, people]
19. [mr, government, people, film, uk] -> [mr, government, people, film, uk] -> [mr, game, new, film, firm]
20. [mr, people, film, play, company] -> [mr, people, film, play, company] -> [mr, game, new, play, film]
21. [mr, game, new, play, market] -> [mr, game, new, play, market] -> [mr, game, government, film, play]
22. [mr, people, win, new, country] -> [mr, people, win, new, country] -> [mr, new, game, people, plan]
